Baum_ID;Mother_ID;Child_ID;Share
1;APL-42269;HW-50090;200
2;APL-42270;HW-50091;200
3;APL-42271;HW-50092;200
4;APL-42272;HW-50093;200
5;APL-42273;HW-50094;200
6;APL-42274;HW-53740;200
7;APL-42275;HW-50096;200
8;APL-42276;HW-50097;200
9;APL-42277;HW-50098;200
10;APL-42524;HW-50340;200
11;APL-42525;HW-50341;200
12;APL-42526;HW-56740;200
13;APL-42623;HW-50573;200
14;APL-42624;HW-50574;200
15;APL-42625;HW-56740;200
16;APL-42683;HW-50480;200
17;APL-42684;HW-50481;200
18;APL-42685;HW-50482;200
19;APL-42686;HW-50483;200
20;APL-42687;HW-50484;200
21;APL-42688;HW-50485;200
22;APL-42689;HW-50486;200
23;APL-42690;HW-50487;200
24;APL-42691;HW-50740;200
25;APL-42782;HW-50688;200
26;APL-42783;HW-50689;200
27;APL-42784;HW-53740;200
28;APL-42815;HW-50738;200
29;APL-42815;HW-56738;200
30;APL-42815;HW-53738;200
31;APL-42816;HW-56739;200
32;APL-42816;HW-53739;200
33;APL-42816;HW-50739;200
34;APL-42817;HW-56740;200
35;APL-42817;HW-53740;200
36;APL-42817;HW-50740;200
37;APP-30029;APL-42269;200
38;APP-30029;APL-42271;200
39;APP-30029;APL-42270;200
40;APP-30030;APL-42274;200
41;APP-30030;APL-42273;200
42;APP-30030;APL-42272;200
43;APP-30031;APL-42276;200
44;APP-30031;APL-42275;200
45;APP-30031;APL-42277;200
46;APP-30123;APL-42524;200
47;APP-30123;APL-42526;200
48;APP-30123;APL-42525;200
49;APP-30163;APL-42625;200
50;APP-30163;APL-42624;200
51;APP-30163;APL-42623;200
52;APP-30189;APL-42684;200
53;APP-30189;APL-42683;200
54;APP-30189;APL-42685;200
55;APP-30190;APL-42688;200
56;APP-30190;APL-42687;200
57;APP-30190;APL-42686;200
58;APP-30191;APL-42690;200
59;APP-30191;APL-42689;200
60;APP-30191;APL-42691;200
61;APP-30232;APL-42784;200
62;APP-30232;APL-42783;200
63;APP-30232;APL-42782;200
64;APP-30250;APL-42817;200
65;APP-30250;APL-42816;200
66;APP-30250;APL-42815;200
67;HW-50090;HWG-70001;200
68;HW-50091;HWG-70001;200
69;HW-50092;HWG-70001;200
70;HW-50093;HWG-70003;200
71;HW-50094;HWG-70003;200
72;HW-50096;HWG-70002;200
73;HW-50097;HWG-70002;200
74;HW-50098;HWG-70002;200
75;HW-50340;HWG-70003;200
76;HW-50341;HWG-70003;200
77;HW-50480;HWG-70003;200
78;HW-50481;HWG-70003;200
79;HW-50482;HWG-70003;200
80;HW-50483;HWG-70003;200
81;HW-50484;HWG-70003;200
82;HW-50485;HWG-70003;200
83;HW-50486;HWG-70003;200
84;HW-50487;HWG-70003;200
85;HW-50573;HWG-70003;200
86;HW-50574;HWG-70003;200
87;HW-50688;HWG-70003;200
88;HW-50689;HWG-70003;200
89;HW-50738;HWG-70003;200
90;HW-50739;HWG-70003;200
91;HW-50740;HWG-70003;200
92;HW-53738;HWG-70003;200
93;HW-53739;HWG-70003;200
94;HW-53740;HWG-70003;200
95;HW-56738;HWG-70003;200
96;HW-56739;HWG-70003;200
97;HW-56740;HWG-70003;200
98;P011;SYS-10024;200
99;P011;SYS-10004;200
100;P038;SYS-10073;200
101;P038;SYS-10072;200
102;P055;SYS-10093;200
103;P065;SYS-10096;200
104;P068;SYS-10103;200
105;SYS-10004;APP-30030;200
106;SYS-10004;APP-30029;200
107;SYS-10004;APP-30031;200
108;SYS-10024;APP-30123;200
109;SYS-10072;APP-30189;200
110;SYS-10073;APP-30191;200
111;SYS-10073;APP-30190;200
112;SYS-10093;APP-30232;200
113;SYS-10096;APP-30163;200
114;SYS-10103;APP-30250;200
